Date,Open,High,Low,Close,Volume,Adj Close
6/30/10,49.719965,50.28996,48.969958,49.089961,19329600,29.174816
7/1/10,49.239964,49.569958,48.059956,48.869962,18899300,29.044067
7/2/10,49.169967,49.359967,48.409957,48.819956,9494200,29.014348
7/6/10,49.969964,50.249967,48.609965,49.199956,20722400,29.240187
7/7/10,49.269968,51.259966,49.269968,51.159965,15830600,30.405046
7/8/10,52.159955,52.169954,50.959957,51.549963,11443900,30.636827
7/9/10,51.649959,52.469958,51.39996,52.299965,11313200,31.082563
7/12/10,52.039958,52.639957,51.77996,52.099956,12374900,30.963696
7/13/10,52.889956,53.649956,52.689958,53.219965,11283200,31.629332
7/14/10,53.089964,53.459956,52.469958,52.799952,10444800,31.379713
7/15/10,52.739963,53.029965,52.059959,52.859956,9567500,31.415374
7/16/10,52.599959,52.799952,51.599954,51.849958,11406400,30.815118
7/19/10,52.199953,52.279958,51.489959,51.839959,9327000,30.809176
7/20/10,50.999954,52.859956,50.799961,52.659958,12506700,31.296512
7/21/10,53.079956,53.129962,51.649959,52.119963,11407400,30.975586
7/22/10,52.789959,53.889961,52.56996,53.269956,11721700,31.659042
7/23/10,53.229958,53.859957,52.759955,53.78996,10457800,31.968087
7/26/10,53.989958,54.70996,53.769959,54.429957,8437900,32.348446
7/27/10,54.729962,54.949951,54.119954,54.439955,10823000,32.354388
7/28/10,55.019963,55.19995,53.809951,54.439955,14859400,32.354388
7/29/10,54.679961,55.549951,54.119954,54.559958,14933200,32.756641
7/30/10,54.099963,55.76995,53.889961,55.219956,15913200,33.15289
8/2/10,55.999963,57.699959,55.919952,57.529956,17988000,34.539765
8/3/10,56.869952,57.889959,56.799955,57.559955,12997800,34.557776
8/4/10,57.549957,58.029953,57.049959,57.419961,13312800,34.473726
8/5/10,56.999953,57.819952,56.87996,57.699959,11103600,34.641832
8/6/10,57.039961,57.539949,56.239953,56.929956,12876900,34.179538
8/9/10,57.249952,57.569948,57.089952,57.309951,8365100,34.407679
8/10/10,56.519952,57.279952,56.319959,56.869952,12286600,34.143513
8/11/10,55.95995,55.999963,55.19995,55.509953,13870600,33.326998
8/12/10,54.939958,55.639954,54.599951,55.349957,10271300,33.23094
8/13/10,54.859963,55.439956,54.839956,55.019963,8487100,33.032819
8/16/10,54.799959,54.969957,54.299961,54.92996,9422000,32.978783
8/17/10,55.379957,56.249961,54.92996,55.869962,11578100,33.54314
8/18/10,55.859953,55.929965,54.919962,55.419954,7930300,33.272965
8/19/10,55.109962,55.259954,54.319962,54.70996,9833700,32.8467
8/20/10,54.289963,54.469955,53.289962,53.889961,12857700,32.35439
8/23/10,54.099963,54.569951,53.589952,53.709955,14878700,32.246317
8/24/10,53.089964,53.969952,52.999961,53.429956,14798000,32.078212
8/25/10,52.999961,53.689963,52.329964,53.459956,10557100,32.096223
8/26/10,53.749952,53.839956,52.099956,52.409959,12361900,31.465828
8/27/10,52.959953,53.889961,52.099956,53.419958,14199200,32.07221
8/30/10,53.189961,53.539961,52.649965,52.669956,8570800,31.621925
8/31/10,52.259957,52.809961,51.99996,52.429966,11265200,31.477839
9/1/10,53.849964,54.209958,53.289962,54.059955,11545500,32.45645
9/2/10,54.089955,54.489961,53.769959,54.429957,6664400,32.678592
9/3/10,54.659955,55.229954,54.639963,55.049963,8186400,33.05083
9/7/10,54.629955,54.779957,53.589952,53.659964,11082400,32.216304
9/8/10,53.819964,54.799959,53.819964,54.319962,7869300,32.612553
9/9/10,54.979951,55.399963,54.699962,54.729962,7592300,32.858708
9/10/10,55.219956,55.299962,54.679961,54.749958,7317000,32.870713
9/13/10,55.269962,55.669953,54.979951,55.379957,9470300,33.248951
9/14/10,55.149959,55.719959,54.879954,55.369959,7607000,33.242949
9/15/10,55.069954,55.629956,54.729962,55.559959,8696200,33.357021
9/16/10,55.439956,55.869962,55.08996,55.359951,9146000,33.23694
9/17/10,55.479953,55.749959,55.069954,55.269962,11456000,33.182913
9/20/10,55.549951,57.169957,55.319953,56.829955,10200600,34.119499
9/21/10,56.919958,57.039961,56.299952,56.519952,11109800,33.93338
