Date,Open,High,Low,Close,Volume,Adj Close,,
6/30/10,256.709988,257.96999,250.009995,251.530003,184863000,33.075655,,
7/1/10,254.299999,254.800011,243.220013,248.48,255724000,32.674586,,
7/2/10,250.490005,250.929989,243.200012,246.939991,173460700,32.472078,,
7/6/10,251.000004,252.799992,246.16,248.62999,153808900,32.694309,,
7/7/10,250.490005,258.770008,249.749989,258.670006,163639000,34.01455,,
7/8/10,262.48,262.900009,254.889999,258.089993,184536100,33.938279,,
7/9/10,256.889992,259.899994,255.159992,259.619987,108330600,34.139471,,
7/12/10,258.530003,261.849998,254.860012,257.290001,140719600,33.833082,,
7/13/10,256.319992,256.399994,246.429993,251.799995,297731000,33.111158,,
7/14/10,249.379993,255.800007,249.000011,252.730003,203011900,33.233452,,
7/15/10,248.230007,256.969994,247.299999,251.450001,206216500,33.065135,,
7/16/10,253.18,254.970001,248.410011,249.900005,259964600,32.861314,,
7/19/10,249.880005,249.880005,239.60001,245.580013,256119500,32.293244,,
7/20/10,242.900005,252.899994,240.010006,251.890011,268737700,33.122995,,
7/21/10,265.089993,265.149994,253.999992,254.239998,296417800,33.432013,,
7/22/10,257.679996,259.999996,255.310009,259.02,161329700,34.060574,,
7/23/10,257.089996,260.380005,256.279991,259.939995,133347200,34.181551,,
7/26/10,259.999996,260.099998,257.710011,259.280006,105137900,34.094764,,
7/27/10,260.870003,264.799999,260.300003,264.080009,146192900,34.725954,,
7/28/10,263.669987,265.990013,260.249989,260.959991,129996300,34.315678,,
7/29/10,260.709999,262.64999,256.099987,258.109993,160951700,33.94091,,
7/30/10,255.889996,259.699989,254.900013,257.25,112052500,33.827822,,
8/2/10,260.440006,262.589989,259.619987,261.849998,107013900,34.432712,,
8/3/10,261.010006,263.259991,259.42001,261.93,104413400,34.443232,,
8/4/10,262.840008,264.279987,260.30999,262.980011,105093800,34.581306,,
8/5/10,261.729996,263.179989,260.549995,261.700008,72274300,34.412989,,
8/6/10,259.779991,261.48999,257.630009,260.090012,111224400,34.201278,,
8/9/10,261.480003,262.150005,259.57,261.749996,75782000,34.419562,,
8/10/10,259.850006,260.449993,257.550007,259.409996,112980000,34.111857,,
8/11/10,255.399998,255.689991,249.80999,250.189999,155013600,32.899447,,
8/12/10,246.689999,253.099998,246.119999,251.790009,133730100,33.109845,,
8/13/10,251.650005,251.879997,249.09,249.099987,88717300,32.756113,,
8/16/10,247.580006,250.009995,246.62001,247.640007,79607500,32.564129,,
8/17/10,250.080009,254.629993,249.199989,251.970013,105660100,33.133515,,
8/18/10,252.360008,254.669994,251.57999,253.070011,84924000,33.278163,,
8/19/10,252.839993,253.480007,248.680004,249.880005,106676500,32.858684,,
8/20/10,249.390007,253.919991,249.000011,249.639999,96057500,32.827124,,
8/23/10,251.790009,252,245.249992,245.799992,103510400,32.322171,,
8/24/10,242.669987,243.000008,238.650002,239.930004,150641400,31.55028,,
8/25/10,238.040001,243.98999,237.200008,242.889992,149216900,31.939512,,
8/26/10,245.449997,245.750004,240.279999,240.279999,116626300,31.596304,,
8/27/10,241.749992,242.610012,235.559998,241.620003,137097800,31.772511,,
8/30/10,240.76001,245.750004,240.680008,242.499996,95822300,31.888228,,
8/31/10,241.849995,244.55999,240.349987,243.10001,105196700,31.967129,,
9/1/10,247.46999,251.459988,246.280003,250.330002,174259400,32.917857,,
